qseqid,sample,pmatch_gsnap,pmatch_rapsearch,qlength,step_change,other_blast_contigs,blast_hits_gsnap_acc,blast_hits_gsnap_taxid,blast_hits_gsnap_lca,blast_hits_rapsearch_acc,blast_hits_rapsearch_taxid,blast_hits_rapsearch_lca,short,low_depth,blast_gsnap_ntax,blast_rapsearch_ntax,kingdom_gsnap,kingdom_rapsearch,taxid,kingdom,scientific_name,rank,Division,Genus,CommonName,cov
NODE_442_length_328_cov_2.035857,CMS002_046a_Rb_S191_L004,0.975609756097561,0.9329268292682928,328,False,833,"[""'AM999887.1'""]",['570417'],570417,"[""'WP_017531650.1'""]",['116598'],116598,False,False,1,1,Bacteria,Bacteria,570417,Bacteria,Wolbachia endosymbiont of Culex quinquefasciatus Pel,no rank,a-proteobacteria,Wolbachia,NA,2.035857
NODE_241_length_446_cov_2.032520,CMS002_046a_Rb_S191_L004,0.9977578475336324,0.9461883408071748,446,False,890,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,"[""'WP_006014685.1'"", "" 'WP_010402350.1'"", "" 'WP_015587856.1'"", "" 'WP_017532107.1'"", "" 'WP_064085927.1'""]","['955', ' 180837', ' 77038', ' 116598', ' 1605993']",953,False,False,2,5,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.032520
NODE_21_length_1231_cov_26.481802,CMS002_046a_Rb_S191_L004,0,0.11291632818846466,1231,False,8,[],[],NA,"[""'BBG31163.1'""]",['33074'],33074,False,False,0,1,NA,Bacteria,33074,Bacteria,Zymobacter palmae,species,g-proteobacteria,Zymobacter,NA,26.481802
NODE_426_length_335_cov_2.104651,CMS002_046a_Rb_S191_L004,0.9940298507462688,0.7791044776119403,335,False,876,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,"[""'WP_096097159.1'"", "" 'WP_096560601.1'"", "" 'WP_096641467.1'"", "" 'WP_114517373.1'""]","['953', ' 955', ' 955', ' 118728']",953,False,False,2,3,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.104651
NODE_2_length_3148_cov_495.439596,CMS002_046a_Rb_S191_L004,0.9996823379923762,0.9955527318932657,3148,False,465,"[""'KP642119.1'"", "" 'KP642120.1'""]","['1628188', ' 1628188']",1628188,"[""'AJT39596.1'"", "" 'AJT39597.1'""]","['1628188', ' 1628188']",1628188,False,False,2,2,Viruses,Viruses,1628188,Viruses,Narnaviridae environmental sample,species,viruses,NA,NA,495.439596
NODE_700_length_259_cov_2.005495,CMS002_046a_Rb_S191_L004,0.996138996138996,0.7644787644787645,259,False,894,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,"[""'WP_017532465.1'""]",['116598'],116598,True,False,2,1,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.005495
NODE_49_length_842_cov_201.584314,CMS002_046a_Rb_S191_L004,0.9239904988123516,0.5878859857482185,842,False,950,"[""'AE017196.1'"", "" 'AM999887.1'"", "" 'CP001391.1'"", "" 'CP003883.1'"", "" 'LK055284.1'""]","['163164', ' 570417', ' 66084', ' 1236908', ' 225364']",953,"[""'KZN08616.1'""]",['79200'],79200,False,False,5,1,Bacteria,Viridiplantae,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,201.584314
NODE_266_length_419_cov_2.347953,CMS002_046a_Rb_S191_L004,0.9976133651551312,0.8639618138424822,419,False,652,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,"[""'WP_019078638.1'"", "" 'WP_064085469.1'""]","['263438', ' 1605993']",953,False,False,2,2,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.347953
NODE_276_length_415_cov_2.159763,CMS002_046a_Rb_S191_L004,0.9975903614457832,0.9734939759036144,415,False,962,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,"[""'WP_015588054.1'"", "" 'WP_017531924.1'"", "" 'WP_064125083.1'"", "" 'WP_096616007.1'"", "" 'WP_114516899.1'""]","['77038', ' 116598', ' 1605993', ' 955', ' 118728']",953,False,False,2,5,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.159763
NODE_576_length_275_cov_2.010101,CMS002_046a_Rb_S191_L004,0.9781818181818182,0.9709090909090908,275,False,669,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,"[""'WP_006013614.1'"", "" 'WP_015587830.1'"", "" 'WP_108784052.1'""]","['955', ' 77038', ' 215173']",953,True,False,2,3,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.010101
NODE_18_length_1261_cov_3.813345,CMS002_046a_Rb_S191_L004,0.999206978588422,0.5416336241078509,1261,False,644,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,"[""'AMR93989.1'"", "" 'WP_006013486.1'""]","['363538', ' 955']",953,False,False,2,2,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,3.813345
NODE_583_length_274_cov_2.223350,CMS002_046a_Rb_S191_L004,0.9963503649635036,0.9927007299270072,274,False,975,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,"[""'WP_006012276.1'"", "" 'WP_010404728.1'"", "" 'WP_064085600.1'"", "" 'WP_096560630.1'"", "" 'WP_108784077.1'""]","['955', ' 180837', ' 1605993', ' 955', ' 215173']",953,True,False,2,5,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.223350
NODE_11_length_1517_cov_3.911806,CMS002_046a_Rb_S191_L004,0.999340804218853,0.9617666446934742,1517,False,646,"[""'AM999887.1'""]",['570417'],570417,"[""'WP_064085590.1'""]",['1605993'],1605993,False,False,1,1,Bacteria,Bacteria,570417,Bacteria,Wolbachia endosymbiont of Culex quinquefasciatus Pel,no rank,a-proteobacteria,Wolbachia,NA,3.911806
NODE_94_length_667_cov_2.159322,CMS002_046a_Rb_S191_L004,0.9985007496251874,0.7901049475262368,667,False,691,"[""'AB478515.1'"", "" 'AM999887.1'""]","['190193', ' 570417']",953,"[""'BAH22187.1'"", "" 'WP_019236663.1'""]","['190193', ' 955']",953,False,False,2,2,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.159322
NODE_496_length_302_cov_2.271111,CMS002_046a_Rb_S191_L004,1,0.9900662251655628,302,False,441,"[""'AM999887.1'""]",['570417'],570417,"[""'WP_064085422.1'"", "" 'WP_096097259.1'""]","['1605993', ' 955']",953,False,False,1,2,Bacteria,Bacteria,570417,Bacteria,Wolbachia endosymbiont of Culex quinquefasciatus Pel,no rank,a-proteobacteria,Wolbachia,NA,2.271111
NODE_105_length_633_cov_2.491007,CMS002_046a_Rb_S191_L004,0.9984202211690364,0.9936808846761452,633,False,526,"[""'AM999887.1'""]",['570417'],570417,"[""'WP_064085422.1'"", "" 'WP_096097259.1'""]","['1605993', ' 955']",953,False,False,1,2,Bacteria,Bacteria,570417,Bacteria,Wolbachia endosymbiont of Culex quinquefasciatus Pel,no rank,a-proteobacteria,Wolbachia,NA,2.491007
NODE_429_length_333_cov_2.281250,CMS002_046a_Rb_S191_L004,0.996996996996997,0.9879879879879878,333,False,901,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,"[""'WP_006012276.1'"", "" 'WP_010404728.1'"", "" 'WP_064085600.1'"", "" 'WP_096560630.1'"", "" 'WP_108784077.1'""]","['955', ' 180837', ' 1605993', ' 955', ' 215173']",953,False,False,2,5,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.281250
NODE_750_length_254_cov_22.316384,CMS002_046a_Rb_S191_L004,0.9960629921259844,0.9921259842519684,254,False,419,"[""'AB624349.1'"", "" 'AM999887.1'"", "" 'AY753174.1'"", "" 'EU499315.1'"", "" 'X61768.1'""]","['1005097', ' 570417', ' 169184', ' 526952', ' 955']",953,"[""'EOB10793.1'"", "" 'KHO02801.1'""]","['1290430', ' 1359195']",780,True,False,5,2,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,22.316384
NODE_366_length_515_cov_2.143836,CMS001_007_Ra_S12,0,0.8796116504854369,515,False,38,[],[],NA,"[""'YP_009337412.1'""]",['1923335'],1923335,False,False,0,1,NA,Viruses,1923335,Viruses,Hubei virga-like virus 2,species,viruses,NA,NA,2.143836
NODE_10_length_2024_cov_2.039034,CMS001_007_Ra_S12,0,0.9920948616600792,2024,False,23,[],[],NA,"[""'AXQ04874.1'""]",['2304496'],2304496,False,False,0,1,NA,Viruses,2304496,Viruses,Totivirus-like Culex mosquito virus 2,species,viruses,NA,NA,2.039034
NODE_1124_length_351_cov_7.759124,CMS001_007_Ra_S12,0,0.603988603988604,351,False,28,[],[],NA,"[""'XP_001850659.1'"", "" 'XP_008490434.1'""]","['7176', ' 9244']",33213,False,False,0,2,NA,Metazoa,33213,Metazoa,Bilateria,no rank,animals,NA,NA,7.759124
NODE_1026_length_365_cov_2.947917,CMS001_007_Ra_S12,0,0.6520547945205479,365,False,46,[],[],NA,"[""'PBJ72582.1'""]",['85057'],85057,False,False,0,1,NA,Eukaryota,85057,Eukaryota,Trypanosoma cruzi cruzi,subspecies,kinetoplastids,Trypanosoma,NA,2.947917
NODE_471_length_473_cov_3.285354,CMS001_007_Ra_S12,0.059196617336152224,0.5919661733615222,473,False,26,"[""'AY988445.1'"", "" 'HE600016.1'""]","['7175', ' 707280']",53527,"[""'AYU83602.1'"", "" 'XP_001568880.2'""]","['5661', ' 420245']",5658,False,False,2,2,Arthropoda,Eukaryota,5658,Eukaryota,Leishmania,genus,kinetoplastids,NA,NA,3.285354
NODE_864_length_386_cov_4.177994,CMS001_007_Ra_S12,0,0.8393782383419689,386,False,54,[],[],NA,"[""'ORC93363.1'"", "" 'XP_001847959.1'""]","['67003', ' 7176']",2759,False,False,0,2,NA,Eukaryota,2759,Eukaryota,Eukaryota,superkingdom,eukaryotes,NA,eucaryotes,4.177994
NODE_1886_length_277_cov_3.125000,CMS001_007_Ra_S12,0,0.8844765342960289,277,False,54,[],[],NA,"[""'CEM08549.1'""]",['1169540'],1169540,True,False,0,1,NA,Eukaryota,1169540,Eukaryota,Vitrella brassicaformis CCMP3155,no rank,eukaryotes,Vitrella,NA,3.125000
NODE_1142_length_349_cov_2.147059,CMS001_007_Ra_S12,0,0.0477256446991404,349,False,26,[],[],NA,"[""'ORC91634.1'""]",['67003'],67003,False,False,0,1,NA,Eukaryota,67003,Eukaryota,Trypanosoma theileri,species,kinetoplastids,Trypanosoma,NA,2.147059
NODE_11_length_1925_cov_85.616883,CMS001_007_Ra_S12,0.9615584415584416,0.8067532467532468,1925,False,26,"[""'FR796423.1'""]",['347515'],347515,"[""'EJY65597.1'""]",['1172189'],1172189,False,False,1,1,Eukaryota,Eukaryota,347515,Eukaryota,Leishmania major strain Friedlin,no rank,kinetoplastids,Leishmania,NA,85.616883
NODE_878_length_384_cov_2.140065,CMS001_007_Ra_S12,0,0.7682291666666666,384,False,54,[],[],NA,"[""'ANW72255.1'"", "" 'YP_009305134.1'""]","['1795443', ' 1608127']",10239,False,False,0,2,NA,Viruses,10239,Viruses,Viruses,superkingdom,viruses,NA,NA,2.140065
NODE_720_length_409_cov_2.198795,CMS001_007_Ra_S12,0,0.4621026894865526,409,False,20,[],[],NA,"[""'EFE10632.1'""]",['411486'],411486,False,False,0,1,NA,Bacteria,411486,Bacteria,Clostridium sp. M62/1,species,firmicutes,Clostridium,NA,2.198795
NODE_24_length_1608_cov_45.434357,CMS001_007_Ra_S12,0.8252487562189055,0.5124378109452736,1608,False,20,"[""'AB362411.1'"", "" 'CP009396.1'"", "" 'CP029526.1'"", "" 'KJ742907.1'""]","['83893', ' 5679', ' 5661', ' 5698']",5654,"[""'KZS10819.1'""]",['35525'],35525,False,False,4,1,Eukaryota,Arthropoda,5654,Eukaryota,Trypanosomatidae,family,kinetoplastids,NA,NA,45.434357
NODE_943_length_375_cov_3.815436,CMS001_007_Ra_S12,0,0.624,375,False,123,[],[],NA,"[""'KPI88767.1'"", "" 'KXJ69322.1'"", "" 'XP_001851107.1'"", "" 'XP_019545304.1'""]","['5684', ' 7160', ' 7176', ' 7160']",2759,False,False,0,3,NA,Eukaryota,2759,Eukaryota,Eukaryota,superkingdom,eukaryotes,NA,eucaryotes,3.815436
NODE_28164_length_279_cov_2.168317,CMS002_021a_Rb_S136_L004,0,0.7813620071684588,279,False,74,[],[],NA,"[""'WP_015589028.1'"", "" 'WP_019236969.1'""]","['77038', ' 955']",953,True,False,0,2,NA,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.168317
NODE_14361_length_421_cov_2.093023,CMS002_021a_Rb_S136_L004,0,0.0304832541567696,421,False,8,[],[],NA,"[""'EGT51773.1'""]",['135651'],135651,False,False,0,1,NA,Metazoa,135651,Metazoa,Caenorhabditis brenneri,species,nematodes,Caenorhabditis,NA,2.093023
NODE_18053_length_367_cov_2.013793,CMS002_021a_Rb_S136_L004,0,0.7683923705722071,367,False,697,[],[],NA,"[""'KRF97428.1'"", "" 'XP_002385618.1'""]","['7260', ' 332952']",33154,False,False,0,2,NA,Eukaryota,33154,Eukaryota,Opisthokonta,no rank,eukaryotes,NA,NA,2.013793
NODE_4613_length_790_cov_2.095372,CMS002_021a_Rb_S136_L004,0,0.022014556962025318,790,False,9,[],[],NA,"[""'POW02415.1'""]",['27350'],27350,False,False,0,1,NA,Fungi,27350,Fungi,Puccinia striiformis,species,basidiomycetes,Puccinia,NA,2.095372
NODE_4247_length_825_cov_2.052139,CMS002_021a_Rb_S136_L004,0,0.17212121212121212,825,False,29,[],[],NA,"[""'XP_013420401.1'"", "" 'XP_019932331.1'""]","['7574', ' 7160']",33317,False,False,0,2,NA,Metazoa,33317,Metazoa,Protostomia,no rank,animals,NA,NA,2.052139
NODE_535_length_1809_cov_3.494226,CMS002_021a_Rb_S136_L004,0,0.19900497512437806,1809,False,1209,[],[],NA,"[""'ADI61823.1'"", "" 'KRF97428.1'"", "" 'XP_002385618.1'"", "" 'XP_024880801.1'""]","['7091', ' 7260', ' 332952', ' 300111']",33154,False,False,0,4,NA,Eukaryota,33154,Eukaryota,Opisthokonta,no rank,eukaryotes,NA,NA,3.494226
NODE_28422_length_278_cov_6.716418,CMS002_021a_Rb_S136_L004,0.9964028776978416,0.9964028776978416,278,False,13,"[""'AY123294.1'"", "" 'DQ789986.1'"", "" 'KC670560.1'"", "" 'KF792096.1'"", "" 'KJ746829.1'""]","['190605', ' 190605', ' 175245', ' 1505670', ' 203909']",4751,"[""'KRH17826.1'"", "" 'PPS17158.1'""]","['3847', ' 3634']",71275,True,False,5,2,Fungi,Viridiplantae,71275,Viridiplantae,rosids,subclass,eudicots,NA,NA,6.716418
NODE_272_length_2240_cov_2.021267,CMS002_021a_Rb_S136_L004,0,0.9955357142857144,2240,False,39,[],[],NA,"[""'AJT39582.1'""]",['1075826'],1075826,False,False,0,1,NA,Viruses,1075826,Viruses,dsRNA virus environmental sample,species,viruses,NA,NA,2.021267
NODE_18315_length_364_cov_2.289199,CMS002_021a_Rb_S136_L004,0,0.06043956043956044,364,False,3,[],[],NA,"[""'WP_034334507.1'""]",['95609'],95609,False,False,0,1,NA,Bacteria,95609,Bacteria,Herbaspirillum sp. B39,species,b-proteobacteria,Herbaspirillum,NA,2.289199
NODE_17343_length_375_cov_2.996644,CMS002_021a_Rb_S136_L004,0.9813333333333332,0.9813333333333332,375,False,4,"[""'EF192211.1'"", "" 'KF170185.1'"", "" 'KF170186.1'"", "" 'KF170194.1'"", "" 'KF170207.1'""]","['437599', ' 1495663', ' 1495664', ' 1495666', ' 1495670']",5260,"[""'XP_007411660.1'"", "" 'XP_007411821.1'"", "" 'XP_007414500.1'"", "" 'XP_007417437.1'"", "" 'XP_007419023.1'""]","['747676', ' 747676', ' 747676', ' 747676', ' 747676']",747676,False,False,5,2,Fungi,Fungi,747676,Fungi,Melampsora larici-populina 98AG31,no rank,basidiomycetes,Melampsora,NA,2.996644
NODE_3077_length_957_cov_4.431818,CMS002_021a_Rb_S136_L004,0,0.09299895506792058,957,False,NA,[],[],NA,"[""'XP_005866444.1'""]",['109478'],109478,False,False,0,1,NA,Chordata,109478,Chordata,Myotis brandtii,species,bats,Myotis,Brandt's bat,4.431818
NODE_9666_length_535_cov_3.582969,CMS002_021a_Rb_S136_L004,0,0.03416416822429907,535,False,1,[],[],NA,"[""'KDP27127.1'""]",['180498'],180498,False,False,0,1,NA,Viridiplantae,180498,Viridiplantae,Jatropha curcas,species,eudicots,Jatropha,NA,3.582969
NODE_10552_length_508_cov_2.201856,CMS002_021a_Rb_S136_L004,0,0.052165354330708666,508,False,20,[],[],NA,"[""'RJW63932.1'""]",['79923'],79923,False,False,0,1,NA,Metazoa,79923,Metazoa,Clonorchis sinensis,species,flatworms,Clonorchis,oriental liver fluke,2.201856
NODE_2624_length_1025_cov_9.727848,CMS002_021a_Rb_S136_L004,0,0.30341463414634146,1025,False,47,[],[],NA,"[""'CAJ00230.1'"", "" 'CAX83696.1'""]","['6183', ' 6182']",6181,False,False,0,2,NA,Metazoa,6181,Metazoa,Schistosoma,genus,flatworms,NA,NA,9.727848
NODE_10953_length_497_cov_2.004762,CMS002_021a_Rb_S136_L004,0,0.8531187122736419,497,False,1035,[],[],NA,"[""'KID80942.1'"", "" 'KRF97428.1'""]","['1276143', ' 7260']",33154,False,False,0,2,NA,Eukaryota,33154,Eukaryota,Opisthokonta,no rank,eukaryotes,NA,NA,2.004762
