,cluster,manual_blastn,manual_blastx,manual_blast_notes,follow_up_notes
185,8874,CMS002_044a_Rb_S178_L004,"100% qlength aligned, 85%-97% identity to partial, full genomes in Dicsistroviridae: Aphis glycine virus 3, Wuhan insect virus 33 = bset matches, Aphis gossypii virus, Big Sioux River virus",100% query coverage 100% identity Wuhan mosquito virus33; aphis glycines virus 3,"Dicistroviridae (family) call for this contig based on: Wuhan mosquito virus 33 lineage = Viruses; Riboviria; unclassified Riboviria; Aphis gossypii virus lineage = Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Dicistroviridae; Cripavirus; unclassified Cripavirus; Big Sioux river virus lineage = iruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Dicistroviridae; unclassified Dicistroviridae"
214,16378,no legit alignment,"Wuhan mosquito virus 8, Imjin River, Culex Mosquito virus 4, 5 putative nucleoprotein - weak alignment 29% qlength 60% identity. Not sure this is real",Dark matter?,
228,20427,no legit alignments ,"contig bases 350-650 align to Imjin River, Wuhan Mosquito virus 8, Culex mosquito virus 4,5 nucleoprotein ",,
239,23471,no legit matches,"YP_009304559, Wuhan ant virus RdRp (and other similar ant virus RdRp) 99% qlength with 32% identity: unclassified rhabdoviridae",Unclassified Rhabdoviridae call for this (and other) contigs? Riboviria contigs correspond to unclassified rhabdovirus - seems most similar to divergent variant of Wuhan Ant Virus. Note: NODE_20 in same sample is named match to Wuhan Ant Virus.,
249,26484,wucheria bancroftii genome assembly = best hit; seen this organism in prior independent searches; i am suspicious that this is sometimes actually mosquito,"weak alignments (19% qlength @ 54-60% identity) matching Wuhan Mosquito virus 8, Imjin River virus, Culex mosquito virus 4, and 5 nucleoprotein.","Call this contig cluster Wuhan Mosquito Virus 8 taxid or Dark matter? If alignment does not maps to a conserved domain in nucleoprotein and there are other hits to these viruses in this sample with similar divergence, call should move to Dark matter.",
251,27105,"Wuhan Mosquito Virus 8, Imjin River Virus - qlength 43% and 30% retrospectively, % identity 69%; next hits are eukaryotic genome sequencing projects","OK alignment matching Wuhan Mosquito virus 8, Imjin River virus, Culex mosquito virus 4, and 5 nucleoprotein (qlength aligned 62-69%, identity 47-51%) ","Best match for both nt and nr = Wuhan mosquito virus 8, nr extends basic alignment detectable by nt; seems real",
257,29025,"Wuhan Mosquito Virus 8, Imjin River Virus - qlength 43% and 30% retrospectively, % identity 69%; next hits are eukaryotic genome sequencing projects","OK alignment matching Wuhan Mosquito virus 8, Imjin River virus, Culex mosquito virus 4, and 5 nucleoprotein (qlength aligned 62-69%, identity 47-51%) ","Best match for both nt and nr = Wuhan mosquito virus 8, nr extends basic alignment detectable by nt; seems real",
296,53546,no legit alignments,"YP_009304559.1, Wuhan Ant virus (and other similar unclassified rhabdoviridae ant viruses) polymerase - 97% qlength aligned, 32% identity; aligns to distinct region of polymerase than  NODE_16",Unclassified Rhabdoviridae call for this (and other) contigs? Riboviria contigs correspond to unclassified rhabdovirus - seems most similar to divergent variant of Wuhan Ant Virus. Note: NODE_20 in same sample is named match to Wuhan Ant Virus.,
307,59776,"Wuhan Mosquito virus 8, Imjin River virus, Culex Mosquito virus 4 & 5 - 70% qlength aligned, ~70% identity","Wuhan Mosquito virus 8, Imjin River virus 94% qlength aligned, ~85% identity (also see Culex Mosquito virus 4, 5 94% and 81% qlength @ 77% identity)",,
311,64923,"58-60% qlength aligned to unclassified rhabdoviruses, including wuhan ant virus, with ~70% identity.","YP_009304559.1, Wuhan Ant virus (and other similar unclassified rhabdoviridae ant viruses) polymerase - 97% qlength aligned, 67% identity; aligns to distinct region of polymerase than NODE_16 and NODE_24",Unclassified Rhabdoviridae call for this (and other) contigs? Riboviria contigs correspond to unclassified rhabdovirus - seems most similar to divergent variant of Wuhan Ant Virus. Note: NODE_20 in same sample is named match to Wuhan Ant Virus.,
338,79037,"Wuhan Mosquito virus 8, Imjin River virus, Culex Mosquito virus 4 & 5 - 70% qlength aligned, ~70% identity","Wuhan Mosquito virus 8, Imjin River virus, Culex Mosquito virus 4 & 5 - 82-97% qlength aligned, ~80% identity",,
341,80925,"Wuhan Mosquito virus 8, Imjin River virus, Culex Mosquito virus 4 & 5 - 70% qlength aligned, ~70% identity","Wuhan Mosquito virus 8, Imjin River virus, Culex Mosquito virus 4 & 5 - 95% qlength aligned, ~70% identity",,
