Sample	ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	mismatches	uncertainty	depth	maxMAF	ADC_Bla	AMPH_Ecoli_Bla	Aac3-IIa_AGly	Aac3-I_AGly	Aac3-Iva_AGly	Aac6-32_AGly	Aac6-33_AGly	Aac6-IIc_AGly	Aac6-Iaf_AGly	AacAad_AGly	AadA4-5_AGly	AadA_AGly	AadB_AGly	AmpC1_Ecoli_Bla	AmpC2_Ecoli_Bla	AmpH_Bla	Aph3''Ia_AGly	Aph4-Ia_AGly	AphA6_AGly	ArmA_AGly	Arr_Rif	BlaA1_Bla	BlaA2_Bla	CMY_Bla	CTX-M-1_Bla	CTX-M-9_Bla	CatA1_Phe	CatA2_Phe	CatBx_Phe	CmlA_Phe	DHA_Bla	DfrA1_Tmt	DfrA27_Tmt	DfrA5_Tmt	DfrA7_Tmt	DfrA8_Tmt	DfrA_Tmt	DfrB_Tmt	EreA_MLS	Erm42_MLS	ErmB_MLS	ErmC_MLS	FloR_Phe	FosA_Fcyn	IMP-1_Bla	KPC-1_Bla	LAP_Bla	Mbl_Bla	MphA_MLS	MphE_MLS	MrdA_Bla	MsrE_MLS	NDM-1_Bla	OXA-1_Bla	OXA-237_Bla	OXA-2_Bla	OXA-48_Bla	OXA-51_Bla	OXA-7_Bla	OXA-9_Bla	OqxA_Flq	OqxB_Flq	Qnr-A_Flq	Qnr-S_Flq	QnrB_Flq	RmtB_AGly	RmtC_AGly	RmtF_AGly	SHV-OKP-LEN_Bla	Sat-2A_AGly	StrA_AGly	StrB_AGly	SulIII_Sul	SulII_Sul	SulI_Sul	TEM-1D_Bla	TetA_Tet	TetB_Tet	TetC_Tet	TetD_Tet	VIM-1_Bla	Zn-dependent_hydrolase_Bla
17AC0005928_1	512	54	3	1	1	1	1	79	0	-	96.2164285714	0.26582278481	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-3_798	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	OXA-9_1619*	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	-	-	-	-	SulI_1616	TEM-141_990*	-	-	-	-	-	-
17AC0006062_1	258	3	3	1	1	1	1	79	0	-	57.7641428571	0.277777777778	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677*	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DfrA1_319	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044	OqxB_49	-	-	QnrB38_31*	-	-	-	SHV-11_1287	Sat-2A_1088	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-70_925*	-	-	-	-	-	-
17AC0006063_1	15	1	1	1	1	1	1	1	mdh_1/trun	-	41.2238571429	0.25	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677*?	-	-	-	-	-	AmpH_634*	-	-	-	-	Arr2_274	-	-	CMY-6_376	CTX-M-15_150	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NDM-1_1220	-	-	-	OXA-181_262*	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1	-	RmtC_1479	RmtF_68*	SHV-100_1362*?	-	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-206_1712*	-	-	-	-	-	-
17AC0006525_1	163	2	1	1	1	9	1	12	0	-	36.7811428571	0.28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-36_1306	-	-	-	-	-	-	-	-	-	-	-	-	-
17AC0006573_1	NF*?	16	18	21	38	78	22	183*?	tonB_183/1snp27holes	tonB_183/edge0.0	39.176	0.5	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520?	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	LEN-1_1410*	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-206_1712*	TetA_1545	-	-	-	-	-
17AC0006574_1	NF*?	16	18	21	38	78	22	252*?	tonB_252/42holes	tonB_252/edge0.0	33.1468571429	0.333333333333	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	LEN-12_1421*	-	StrA_1501*	StrB_1614	-	SulII_1219*	-	TEM-206_1712*	TetA_1545	-	-	-	-	-
17AC0006598_1	16?	2	1	2	1	4	4	4?	0	tonB_4/edge1.0	23.7145714286	0.25	-	-	-	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	CTX-M-15_150?	-	-	-	-	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	-	-	-	MphA_1663	-	-	-	-	OXA-1_520?	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-148_1391*?	-	-	-	-	-	SulI_1616	-	-	-	-	-	-	-
17AC0006720_1	11?	3	3	1	1	1	1	4?	0	tonB_4/edge2.0	22.0747142857	0.404761904762	-	-	-	-	-	-	-	-	-	AacA4_1679*?	-	-	-	-	-	AmpH_634*	-	-	-	-	Arr2_274	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NDM-1_1220	-	-	-	-	-	-	-	OqxA_1044*	OqxB_49	-	Qnr-S1_1455	-	-	-	-	SHV-12_1288?	-	-	-	-	-	-	-	-	-	-	-	-	-
17AC0006824_1	258	3	3	1	1	1	1	79	0	-	31.874	0.25	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	DfrA14_322	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-3_798	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-150_999*	-	-	-	-	-	-
17AC0006999_1	11?	3	3	1	1	1	1	4?	mdh_1/trun	tonB_4/edge2.0	26.2272857143	0.355555555556	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677*?	-	-	-	-	-	AmpH_634*	-	-	-	-	Arr2_274	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NDM-1_1220	-	-	-	-	-	-	-	OqxA_1044*	OqxB_49	-	Qnr-S1_1455	-	-	-	-	SHV-12_1288?	-	-	-	-	-	-	-	-	-	-	-	-	-
17AC0007797_1	11	3	3	1	1	1	1	4	0	-	33.4755714286	0.28813559322	-	-	-	-	Aac3-Iva_1489*	-	-	-	-	-	-	AadA2_1605*	-	-	-	AmpH_634*	-	Aph4-Ia_1061	-	-	-	-	-	-	-	-	-	-	-	CmlA1_1537*	DHA-1_349	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044	OqxB_49	-	-	QnrB4_32	-	-	-	SHV-12_1288	-	-	-	SulIII_1498	-	SulI_1616	-	-	-	-	-	-	-
17AC0007875_1	258?	3	3	1	1	1	1	79?	0	tonB_79/edge2.0	36.729	0.290322580645	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	-	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-12_1288	-	-	-	-	-	SulI_1616	-	-	-	-	-	-	-
17AC0008079_1	1017	2	2	2	1	1	4	34	0	-	61.8778571429	0.222222222222	-	-	-	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520*?	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-40_1310*	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-206_1712*	-	-	-	-	-	-
17AC0009128_1	35	2	1	2	1	10	1	19	0	-	33.2865714286	0.156862745098	-	-	-	-	-	-	-	-	-	-	-	AadA2_1605*	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	ErmB_841*?	-	-	-	-	-	-	-	MphA_1663*?	-	-	-	NDM-5_1224	-	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	RmtB_1580	-	-	SHV-33_1303	-	-	-	-	-	SulI_1616	TEM-206_1712*	-	-	-	-	-	-
17AC0011076_1	258	3	3	1	1	1	1	79	0	-	26.7804285714	0.166666666667	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-3_798	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287?	-	-	-	-	-	SulI_1616	TEM-150_999*	-	-	-	-	-	-
17AC0011161_1	258?	3?	3	1	1	1	1	79	0	gapA_3/edge2.0	29.4477142857	0.25	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	DfrA1_319	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044	OqxB_49	-	-	QnrB38_31*	-	-	-	SHV-11_1287	Sat-2A_1088	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-206_1712*	-	-	-	-	-	-
17AC0011585_1	17*?	2	1	1?	1?	4*?	4	4?	phoE_4/7snp	mdh_1/edge2.0;pgi_1/edge1.0;phoE_4/edge1.0;tonB_4/edge2.0	9.89685714286	0.444444444444	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1	-	-	-	SHV-12_1288	-	StrA_1501*	StrB_1614*	-	SulII_1219	-	-	TetA_1545	-	-	-	-	-
17AC0012452_1	278	4	1	1	1	12	1	4	0	-	28.9908571429	0.266666666667	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-27_1297	-	-	-	-	-	-	-	-	-	-	-	-	-
17AC0012822_1	NF*?	3	3	1	1	1	1	434*?	mdh_1/trun;tonB_434/2snp28holes	tonB_434/edge0.0	25.9922857143	0.345454545455	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	DfrA1_319	-	DfrA14_322	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044*	OqxB_49*	-	-	QnrB38_31*	-	-	-	LEN-6_1415*?	Sat-2A_1088	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-150_999*	-	-	-	-	-	-
17AC0013157_1	2934	2	9	2	1	9	1	43	0	-	41.0488571429	0.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	CMY-14_380*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-79_1345*	-	-	-	-	-	-	-	-	-	-	-	-	-
17AC0013158_1	716	71	1	1	2	16	4	164	0	-	39.1077142857	0.176470588235	-	-	-	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520?	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	SHV-27_1297	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-206_1712*	-	-	-	-	-	-
17AC0013159_1	2934	2	9	2	1	9	1	43	0	-	41.2294285714	0.193548387097	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	CMY-14_380*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-40_1310*	-	-	-	-	-	-	-	-	-	-	-	-	-
17AC0013196_1	152	2	3	2	1	1	4	56	0	-	57.0592857143	0.280487804878	-	-	-	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	Arr3_275	-	-	-	CTX-M-15_150	-	CatA1_1470*	-	-	-	-	-	DfrA27_311	-	-	-	-	-	-	-	-	-	FloR_1212*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044	OqxB_49*	-	-	-	-	-	-	SHV-1_1279*	-	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-206_1712*	TetA_1545*?	-	-	-	-	-
17AC0013811_1	258	3	3	1	1	1	1	79	0	-	22.6732857143	0.25	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	-	AadB_1085	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	-	-	-	-	-	CmlA5_1538*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-12_1288	-	-	-	-	-	-	TEM-206_1712*	-	-	-	TetD_1047	-	-
17AC0014079_1	258	3	3	1	1	1	1	79	0	-	35.8977142857	0.266666666667	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	-	AadB_1085	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	-	-	-	-	-	CmlA5_1538*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-12_1288	-	-	-	-	-	-	TEM-206_1712*	-	-	-	TetD_1047	-	-
17AC0014172_1	37*	2	9	2	1*	13	1	16	pgi_1/1snp	-	29.38	0.257142857143	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678	-	AadA1-pm_1597*	-	-	-	AmpH_634*	Aph3''Ia_1217	-	-	-	Arr2_274	-	-	-	CTX-M-55_166	-	-	-	CatB4_602	CmlA5_1538	-	-	-	DfrA14_322	-	-	-	-	-	Erm42_1640*	-	-	FloR_1212*	-	-	KPC-2_797	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	OXA-10_1515	OXA-9_1619*	OqxA_1044*	OqxB_49	-	Qnr-S1_1455	-	-	-	-	SHV-110_1372*	-	-	-	-	SulII_1219	SulI_1616	TEM-206_1712*	-	-	-	-	-	-
17AC0014283_1	515*?	2*?	1	1	1	1	1	4	gapA_2/2holes	gapA_2/edge0.0	21.5671428571	0.294117647059	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520?	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	SHV-148_1391*?	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-206_1712*	TetA_1545	-	-	-	-	-
17AC0014684_1	147	3	4	6	1	7	4	38	0	-	31.291	0.333333333333	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	-	-	-	DfrA1_319	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-67_1334*	-	StrA_1501	StrB_1614	-	-	SulI_1616	-	TetA_1545	-	-	-	-	-
17AC0014747_1	NF*	3	3	1	1	248*	1	79	phoE_248/1snp	-	23.6238571429	0.388888888889	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-2_797	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	OXA-9_1619*	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	-	-	-	-	SulI_1616	TEM-150_999*	-	-	-	-	-	-
17AC0016814_1	15?	1?	1	1	1	1	1	1	0	gapA_1/edge2.0	26.7004285714	0.2	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-100_1362	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-206_1712*	TetA_1545	-	-	-	-	-
